0	0.16023111,-0.432041,0.06670715,-0.053915713,0.1206903,-0.22535284,-0.39462483,0.52728087,-0.23070891,0.24134482,-0.11602388,0.16615066,0.17838514,0.67591935,0.08437589,-0.28745863,-0.07047503,0.013103379,0.21710643,0.023965832,0.08137218,0.27154818,-0.0043768617,-0.16608045,0.17480616,-0.3524264,-0.3087899,0.1470705,0.09925818,-0.20924841,0.032408945,0.15035424,-0.29779536,0.46356228,-0.23049848,-0.0013878762,-0.27730343,0.43684086,0.17339288,-0.10806236,0.26367524,-0.521783,-0.25455636,-0.039944176,0.34812805,-0.14300893,0.098160595,0.1128487,0.0048269816,0.32720712,0.53286684,-0.20722352,0.104411975,-0.11926547,-0.33554226,-0.063638784,-0.41150764,0.15813278,0.011692285,-0.10065855,0.26005182,-0.18336533,-0.09741031,0.33726257,-0.204315,0.12702356,-0.40469536,0.17769492,0.011088479,-0.20280127,0.03068608,0.18962342,-0.007417918,0.20802167,0.14209552,-0.63283896,0.31004402,-0.18387239,-0.08027802,-0.20446691,0.3724749,0.047715407,0.04801502,0.061717898,-0.6710001,-0.37054986,-0.3838557,-0.19324219,0.085526414,0.11870926,-0.16243443,0.31291026,-0.1685571,-0.29232985,0.26607323,-0.050654598,-0.47808486,-0.12022047,-0.07233461,0.48268348
1	0.44311985,0.760436,0.5316047,-0.16859126,-0.2794267,0.31545463,-0.5840385,0.4864712,-0.07826547,0.2875559,-0.04106276,0.11719503,0.7224416,-0.31431064,0.37822467,-0.5158536,0.42153457,-0.5630192,-0.5934444,0.22218294,0.047100898,0.35008487,0.10434034,-0.016660979,-1.0943518,0.12412606,0.047496926,-0.05889633,0.4211037,-0.35267562,-0.10365867,-0.3437266,-0.07527515,-0.80539215,-0.5424761,-0.09965082,-0.42479774,-0.032785043,-0.9015659,-0.12382245,0.26096153,0.32540148,-0.62002313,-0.31594297,0.01956979,-0.017997164,0.16223906,-0.579696,-0.20896994,0.70042294,0.4124279,-0.3926434,0.35214907,0.42569688,-0.07083105,0.4720523,0.03389474,0.1608195,-0.4562447,0.50508004,-0.573095,-0.3574989,0.08141238,-0.13587259,0.7278573,0.5243237,-0.7842409,-0.06194149,-0.23411511,-0.27853146,0.58557886,-0.19151618,-1.1461221,-0.30046758,-0.6430582,-0.42201287,-0.30186376,-0.25239587,0.067297824,-0.3309044,0.36974466,0.2282907,0.41858763,0.48722312,-1.1251453,-0.32856816,0.34192193,-0.12677434,-0.19594958,0.17667663,0.49332896,-0.43185684,-0.46685025,0.54245645,0.037908196,0.26370433,-0.7238707,0.8840662,-0.0113863805,-0.5108484
2	0.74836814,-0.26893792,0.08961255,-0.13280042,-0.82731664,1.0040072,-0.18715082,-0.5287784,-0.46500632,-0.5114899,-0.08099872,-0.43647566,0.2743958,-0.55818903,0.314723,-0.25175923,0.013784449,-0.4048907,0.6604888,0.08087689,0.26437017,0.50576484,-0.6674202,0.019648092,0.47063854,-0.04631773,0.0020256955,0.10722082,-0.94494975,-0.47334954,0.10223052,0.86994433,-0.09974146,-0.5766449,0.38548476,0.08803229,-0.59384686,0.03780458,0.50208527,0.7501816,0.10221606,0.73010474,-0.33818948,0.27116603,-1.2733312,0.08313848,-0.30476952,-0.51972014,-0.5696035,0.54505944,0.1175878,-0.5636493,-0.7236551,-0.091123804,-0.26534528,0.10289985,0.43156493,1.7399837,-0.40368807,0.15634651,-0.22067688,-0.1162091,0.04489769,0.31727722,-0.24051936,0.01485323,0.26506495,0.03752907,-0.49940467,-1.0924476,-0.32052827,0.6758922,-0.3391745,-1.2564636,0.82990235,-0.6377808,-0.1502862,0.31241378,0.07949993,-0.8132974,-0.321404,0.31957465,0.89047736,0.38103673,0.30897668,-0.93942004,-0.41369808,0.45927995,0.685531,0.585532,-0.3302497,-0.9257114,0.44006723,0.35892895,-0.41311225,0.42415243,0.59478116,-0.045313586,-0.6981219,0.05794846
3	0.5963585,-0.58471674,0.35370287,-0.23817731,-0.8506388,-0.7152371,0.24702236,0.5722976,-0.28982306,0.60138786,0.6490439,-0.17149286,-0.20197569,-0.64333737,0.061564878,0.02843424,-1.0246445,0.20930476,0.12691765,-0.8946695,-0.2920838,-0.2588589,-0.7542266,0.2011852,-0.6765606,-0.77624804,-0.8084177,0.33579603,0.07203915,0.30644202,0.664668,-0.48324502,-0.6491474,-0.14202824,0.9097898,-0.06278716,0.12212292,-0.50591385,0.2136496,0.13251476,-0.06677635,-0.11013753,-0.9967828,-0.2542592,-0.45191893,0.42659143,0.25448695,0.09047905,-0.84937954,0.16221656,0.27131742,-0.688725,0.30077472,-0.8797192,0.91430396,1.010285,-1.3252997,-0.12875526,-0.23657309,0.21018115,0.036320932,-0.129067,0.03246901,0.49067476,1.0179155,-0.1778099,0.28995103,0.33044854,0.11953187,-0.32882997,0.17812157,0.5700333,-0.4940276,0.33985266,0.67244226,-0.12852396,-0.1478249,-0.024268124,0.5372553,0.14402592,1.0879188,-0.7291467,-0.30616227,-1.4862566,0.31661913,1.0076988,0.6398902,0.32089126,1.6289437,0.29232883,1.1385802,0.27960822,0.3663107,0.66547847,0.20974109,0.5514945,1.0647444,-0.91478175,0.44778407,-0.15579332
4	0.51286846,0.08301866,0.80731845,-0.7941885,-0.43187407,0.104092374,0.36226755,-0.1348347,-0.17534809,-0.35086283,0.81994927,0.30572018,-0.36226797,-0.777619,0.03905402,-0.26550663,0.08232664,-0.06988687,0.28994638,-0.45485538,-0.31906402,-0.39341956,-0.5153523,-0.44779754,0.09920162,0.12566547,-0.69190747,0.068688594,-0.18400605,0.121519014,0.32342094,0.24662775,-0.03984572,0.16885819,1.053688,-0.40179327,-0.003923244,0.44922486,-0.36572632,-0.5377903,-0.09466867,0.34604114,-0.28293082,-0.3017931,-1.1965595,0.7699905,-0.18624148,0.3083383,-0.19579476,-0.2850604,0.08334561,0.45423064,-0.31823385,0.6619649,-0.21827221,1.1145643,-0.6868491,-0.2581348,-0.34319693,-0.95310897,0.26644555,-0.2649449,-0.07252696,0.07236234,-0.23191075,-0.19570471,-0.01949496,0.32116902,0.35591486,-0.0748639,-0.3824817,0.3516347,-1.2149132,0.4002469,0.6343558,-0.058049582,0.18947828,0.79571784,-0.260228,-0.78592116,1.2589808,1.2957854,-0.19871552,-0.49861047,0.27910668,-0.23351589,0.6839764,-0.73557186,0.6007357,-0.32065845,1.400444,0.5179958,-0.4507062,-0.053209357,-0.094431244,0.21697193,0.40763628,0.011712491,0.13187082,-0.40930268
5	-0.12905668,0.42641786,0.122927316,-0.060390934,0.7570765,-0.52791166,0.39509854,0.05703135,-0.51360995,-0.6025364,0.41179124,-0.5477868,0.2892369,-0.18841901,0.1194739,0.3682581,-0.5095924,0.5289899,-0.07368426,0.5030286,-0.104241334,0.19667219,-0.23458703,-0.36381713,-0.9312676,0.17305806,0.24851254,-0.04831925,0.47722197,-0.11945423,-0.41372657,0.23913684,-0.6796762,-0.18696849,-0.18567199,-0.13705008,-0.28351194,-0.37247887,-0.013039418,-0.0118199345,-0.018002747,0.12996154,-0.5508242,0.5226293,-0.18100914,-0.24284242,0.17106695,-0.2808011,-0.48190743,0.96107125,-0.51460433,0.24414036,0.12062629,0.14382471,0.515887,0.56084937,-0.033784892,-0.24645545,0.05889313,-0.46353382,0.15492618,-0.5945778,0.06621104,0.19200853,-0.26688504,0.3625657,-0.18804108,-0.16643457,-0.6328714,0.08702136,-0.32061693,-0.4640091,0.17282037,-0.043502893,-0.13133013,-0.10203569,0.46742302,-0.028768376,-0.5655433,0.47447067,-0.14280313,-0.34812808,0.2783595,-0.7644581,0.086076915,0.017836792,-0.43274593,-0.15210854,-0.15623347,0.11736814,-0.8831591,-0.3135341,0.13209033,-0.3790056,0.3970641,0.49317348,0.51216763,-0.3247951,-0.8236302,-0.030523779
6	0.16495939,0.44375655,0.34712684,0.37760425,-0.83233714,-0.14976652,-0.45631433,0.33036995,-0.2265626,-0.07840746,0.29460934,-0.5029447,0.81480867,-0.29222932,0.21746805,0.32923642,-0.20818588,-0.8188252,0.6702383,0.0010630782,-0.24668711,-0.024470227,0.07838936,-0.30130404,0.30519313,-0.14998382,-0.48627207,-0.15664618,0.32444096,0.17729537,0.34240568,0.02607866,-0.4430765,-0.23773271,1.0828652,0.008049423,0.30981943,0.5746557,-0.5463212,0.35083002,-0.29921946,-0.7586034,-0.6151977,0.36627418,-0.19535796,0.08888826,0.12856394,-0.3242889,-0.020222943,0.12855358,0.9661945,-1.1574322,-0.43224108,-0.24159467,0.4537715,0.75056297,-0.3032468,0.1609394,0.35130394,-0.22283666,0.4641269,-0.5000886,0.39297426,0.62798727,-0.038491365,-0.64737916,0.9985007,0.19726926,0.536223,-1.2541809,-0.09663513,0.08859118,-1.1421129,-0.7807146,0.17240496,-0.0916285,0.2424567,0.2752172,-0.119658045,-0.93383884,0.013477439,-0.051828425,0.5374812,-0.41299137,0.035195936,-0.8649719,0.27732956,-0.59439015,0.74138343,-0.34890825,0.3366066,-0.5154951,-0.1002633,-0.7977767,0.22295776,-0.34773734,0.18101119,-0.69435436,-0.53105974,-0.43005368
7	0.5824988,0.08775377,-0.5246561,-0.98861396,0.26643574,-0.21005328,-0.34414366,0.106583275,-1.1467836,-0.4605227,0.4978986,0.26318905,0.10171025,0.13812801,0.6551839,-1.9894019,0.503678,-0.81340396,0.39473066,0.09503929,0.6181892,0.12736464,-1.1051819,1.371135,-0.49444267,1.5433385,-0.07489835,-0.21607015,0.34142187,-0.19165994,0.33137468,-0.52301186,1.2738069,0.043304745,-0.8913046,-0.9990781,-0.04613427,-0.25288957,-1.2896358,-0.20939384,-0.6155413,-0.61657673,0.14384261,0.20859979,-0.5221831,-0.40267855,0.9128799,-0.23303756,0.1904105,-0.4982476,-0.6814481,0.328638,0.15740025,0.56406504,-0.38681743,-0.1886365,0.5669435,-0.37897786,-0.5542203,-0.2659353,-1.0406449,-0.2655773,0.46925473,-1.5427628,0.9147859,0.2010256,-2.0423934,0.35509244,-1.0003425,-0.6282966,0.084439896,-0.054154973,-1.3618001,0.8855274,0.14050272,-0.24371481,0.04395732,-1.0542094,-0.5046868,-0.06394252,0.21308847,0.69387317,1.0186406,1.3543715,0.3689587,-0.21944514,0.0077303494,0.1601702,-0.2367159,0.19692089,1.0304557,-0.3401138,-0.8276276,-0.95588917,-1.0024391,-0.00022473777,-0.6776387,1.1282386,0.6768912,0.64927924
8	0.5356919,0.22542086,-0.043472707,0.119203605,0.54200846,-0.023995366,0.46300077,1.3008481,-0.56563604,-1.2424302,-0.4663782,-0.4768668,-0.27278706,-1.1040092,0.6986081,0.18426907,0.75801444,-0.9918412,0.22487243,-0.32744193,-1.5351492,1.4906508,-0.8601989,-0.3221764,-1.128017,0.14396848,0.5343357,-0.39818296,-0.43677494,0.70449495,0.06842296,1.4433988,0.21219134,-0.4132388,-0.23967104,-0.70482004,-0.5410861,0.0554295,0.28388414,-0.2127792,1.0726091,-0.51799905,-0.5743961,-0.70838475,-0.0011102267,0.58647674,0.6795635,-0.19379078,-1.0359149,-0.021166874,-0.008298709,0.21562067,-0.62266004,-0.34519538,-0.845774,-0.30218053,0.16385558,-0.42754883,-0.45649618,-0.2606822,-1.2284323,0.746093,0.033044998,0.10033794,-0.021191845,-0.066064045,-0.14990307,-0.69227827,-1.6684167,0.86582565,-2.106713,0.19110262,-0.2306234,-0.19548091,1.3909199,-0.22511062,-0.622552,-0.62079924,-0.2520789,0.61765516,0.52052915,0.30763653,0.11435111,-0.9199488,0.5592572,-0.0048962333,0.3329535,0.34926274,-0.83523494,-1.8977481,1.5794114,0.43443614,-1.1999701,0.28501606,0.7608494,0.17417938,-0.1329635,0.0040249587,0.6654118,0.35583273
9	0.39265454,-0.44520187,1.0105006,-0.13322808,0.4870136,0.18039663,0.34773695,0.12541248,-0.7932394,0.112906195,0.06286952,-0.83972836,0.21639478,-0.099486776,0.52074105,0.23660061,-0.3174885,-0.41872746,-0.15344095,0.15227164,-0.2916056,0.28222454,0.8350233,-0.7172787,-0.11181834,0.56473625,-0.109384924,-0.26116222,0.3376985,0.41686088,-0.44661915,0.58158463,-0.38653544,-0.9224508,-0.18282144,0.15103276,-0.22200984,0.13587488,-0.13036966,0.12694553,0.15489006,0.03186187,-0.2418987,-0.3295541,-0.15218452,0.06716389,0.4974859,0.1820858,-0.32010058,0.5342201,0.21133094,-0.058147606,-0.12317884,0.38439167,-0.24481858,-0.082114205,-0.28123024,0.02569925,0.29144678,-0.42361993,0.06369382,0.5866098,0.3226842,0.33405027,0.08353603,1.0130767,-0.74565357,0.019046586,-0.27736685,0.36690202,-0.32235596,-0.059108723,-0.77237284,-0.12864667,-0.56923354,-0.49073014,0.058438744,-0.4465063,-0.12292349,0.7751607,-0.2941598,0.36942205,-0.21681367,0.05277497,-0.057191055,0.29554424,0.12584965,-0.059814062,0.47861806,-0.5358758,0.18855934,-0.45027587,-0.24421099,-0.3941372,-0.08015856,-0.17362837,0.33835375,0.3610586,-0.35231474,-0.2202002
